#;artist;song;total;trackId
57;Maroon 5;One More Night;9;https://open.spotify.com/track/6qxvy9Pe4RJIq5JBVbbwbS
58;OutKast;Hey Ya!;9;https://open.spotify.com/track/4NqcdlgmlssGvbRPDHnQzz
59;Percy Faith And His Orchestra;"The Theme From ""A Summer Place""";9;https://open.spotify.com/track/6zwvB879PJSpTyFcg2wwnL
60;Rihanna Featuring Drake;Work;9;https://open.spotify.com/track/4mhjQJhJxX2vbXQA7iemX2
61;The Beatles;Hey Jude;9;https://open.spotify.com/track/0FIDCNYYjNvPVimz5icugS
62;24kGoldn Featuring iann dior;Mood;8;https://open.spotify.com/track/391BwF7bbwfL2bez4azQMB
63;Ariana Grande;7 Rings;8;https://open.spotify.com/track/2a1PNDDWyt68aKJDc47k4e
64;Bee Gees;Night Fever;8;https://open.spotify.com/track/4wwRROf47MXBX5u5Knwixx
65;Beyonce Featuring Jay Z;Crazy In Love;8;https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
66;Bone Thugs-N-Harmony;Tha Crossroads;8;https://open.spotify.com/track/5KSJ9k1FYjFLnIRlJT2wF8
67;Drake;Nice For What;8;https://open.spotify.com/track/0lY5HA88PAZkeiOMMQDvxg
68;Gotye Featuring Kimbra;Somebody That I Used To Know;8;https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV
69;Janet Jackson;That's The Way Love Goes;8;https://open.spotify.com/track/29rQJydAlO0uMyWvRIZxQg
70;Kris Kross;Jump;8;https://open.spotify.com/track/3GsS8jzoixpCnp4jDWCEvb
71;Mariah Carey;Dreamlover;8;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
72;Mariah Carey;Fantasy;8;https://open.spotify.com/track/4nbs8cT5xWhyZnmQwb4KC9
73;Meghan Trainor;All About That Bass;8;https://open.spotify.com/track/5jE48hhRu8E6zBDPRSkEq7
74;Miley Cyrus;Flowers;8;https://open.spotify.com/track/2bk5EEG7oTNiUHkkqXeVYf
75;Olivia Rodrigo;Drivers License;8;https://open.spotify.com/track/1x3snGFDECjKcfHXEPQbJC
76;Post Malone Featuring 21 Savage;Rockstar;8;https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
77;Rod Stewart;Tonight's The Night (Gonna Be Alright);8;https://open.spotify.com/track/67mtN6BlsJR0LVyzvNZnGt
78;Taylor Swift;Anti-Hero;8;https://open.spotify.com/track/2NpEDYpyx0U5uUzTS1q50w
79;The Police;Every Breath You Take;8;https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
80;Usher;Burn;8;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
81;Adele;Rolling In The Deep;7;https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk
82;Andy Gibb;Shadow Dancing;7;https://open.spotify.com/track/7EhDMLopvzHG92fdNqBFk0
83;Ariana Grande;Thank U, Next;7;https://open.spotify.com/track/0BeR2fJmYnKNn7IORw3GR9
84;Bobby Lewis;Tossin' And Turnin';7;https://open.spotify.com/track/79s3pSe1u6ggQBEwVPm58Z
85;Bryan Adams;(Everything I Do) I Do It For You;7;https://open.spotify.com/track/6eBK3edMW7bEzecF1eCezc
86;Ciara Featuring Petey Pablo;Goodies;7;https://open.spotify.com/track/5iHk7Ucod6p5mwkT4lBtwd
87;DaBaby Featuring Roddy Ricch;Rockstar;7;https://open.spotify.com/track/1ttPzkTSpQUFcEGx8bjerL
88;Eminem Featuring Rihanna;Love The Way You Lie;7;https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED
89;Iggy Azalea Featuring Charli XCX;Fancy;7;https://open.spotify.com/track/3oiMJQAWVaxSubJ7b2VUtX
90;Janet;All For You;7;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
91;Joan Jett & The Blackhearts;I Love Rock 'N Roll;7;https://open.spotify.com/track/2Cdvbe2G4hZsnhNMKyGrie
92;Justin Timberlake;SexyBack;7;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
93;Katy Perry;I Kissed A Girl;7;https://open.spotify.com/track/005lwxGU1tms6HGELIcUv9
94;Lizzo;Truth Hurts;7;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
95;Madonna;Take A Bow;7;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
96;Maroon 5 Featuring Cardi B;Girls Like You;7;https://open.spotify.com/track/6V1bu6o1Yo5ZXnsCJU8Ovk
97;Marvin Gaye;I Heard It Through The Grapevine;7;https://open.spotify.com/track/1tqT6DhmsrtQgyCKUwotiw
98;Michael Jackson;Billie Jean;7;https://open.spotify.com/track/3a7sX4caJfw00aAsvQLaoK
99;Michael Jackson;Black Or White;7;https://open.spotify.com/track/7EsjkelQuoUlJXEw7SeVV4
100;Montell Jordan;This Is How We Do It;7;https://open.spotify.com/track/6uQKuonTU8VKBz5SHZuQXD
101;Nelly;Hot In Herre;7;https://open.spotify.com/track/3nM8GScsfIV4huv42WLNeZ
102;Paul McCartney And Stevie Wonder;Ebony And Ivory;7;https://open.spotify.com/track/1FYTt8izKA8EMqhULwqOcU
103;Rae Sremmurd Featuring Gucci Mane;Black Beatles;7;https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
104;Rihanna Featuring Jay-Z;Umbrella;7;https://open.spotify.com/track/2yPoXCs7BSIUrucMdK5PzV
105;Snow;Informer;7;https://open.spotify.com/track/0EgUGqV7o7zZ9gyTIA1O18
106;Soulja Boy Tell'em;Crank That (Soulja Boy);7;https://open.spotify.com/track/66TRwr5uJwPt15mfFkzhbi
107;T.I.;Whatever You Like;7;https://open.spotify.com/track/29gelu2enuB2yE7u6EGNdc
108;TLC;Waterfalls;7;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
109;Taylor Swift;Blank Space;7;https://open.spotify.com/track/6MkVZbITZjMAzvPaj8qNUQ
110;The Beatles;I Want To Hold Your Hand;7;https://open.spotify.com/track/0g1NjFyzJ6FFEOTsuiJLdv
111;The Kid LAROI & Justin Bieber;Stay;7;https://open.spotify.com/track/4xvEn1vhrF9JbPFWqTXsH4
112;The Monkees;I'm A Believer;7;https://open.spotify.com/track/3G7tRC24Uh09Hmp1KZ7LQ2
113;UB40;"Can't Help Falling In Love (From ""Sliver"")";7;https://open.spotify.com/track/55meeb1WffJW16DfMnWVi0
114;Ace Of Base;The Sign;6;https://open.spotify.com/track/0kQOmSJb84p2f0sPnstZdR
115;Alicia Keys;Fallin';6;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
116;Blondie;Call Me;6;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
117;Boyz II Men;On Bended Knee;6;https://open.spotify.com/track/4Gmkqn3V7IMTkOmmiX7cbb
118;Bruno Mars;Locked Out Of Heaven;6;https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
119;Celine Dion;"Because You Loved Me (From ""Up Close & Personal"")";6;https://open.spotify.com/track/3Oaotz39bz2JkfStvI88tL
120;Chic;Le Freak;6;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
121;Elvis Presley With The Jordanaires;Are You Lonesome To-night?;6;https://open.spotify.com/track/4xUqqie4bBKufHtlMuZS3k
122;Flo Rida;Right Round;6;https://open.spotify.com/track/7pBqhU1BHW0FhRuMpT26HX
123;Gilbert O'Sullivan;Alone Again (Naturally);6;https://open.spotify.com/track/54pvEYFocTlvIAQOfXSjqV
124;Irene Cara;Flashdance...What A Feeling;6;https://open.spotify.com/track/3cbV252akVZInSvJk7jAYX
125;Jack Harlow;Lovin On Me;6;https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU
126;Jennifer Lopez Featuring Ja Rule;Ain't It Funny;6;https://open.spotify.com/track/4ZOyH6KjomjlqCz3oFqglr
127;Johnny Horton;The Battle Of New Orleans;6;https://open.spotify.com/track/2YfDQbQJhIL40untMcU1K0
128;Katy Perry Featuring Snoop Dogg;California Gurls;6;https://open.spotify.com/track/6KOEK6SeCEZOQkLj5M1PxH
129;Kenny Rogers;Lady;6;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
130;LMFAO Featuring Lauren Bennett & GoonRock;Party Rock Anthem;6;https://open.spotify.com/track/0IkKz2J93C94Ei4BvDop7P
131;Lady Gaga;Born This Way;6;https://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca
132;MAGIC!;Rude;6;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
133;Macklemore & Ryan Lewis Featuring Wanz;Thrift Shop;6;https://open.spotify.com/track/6CjtS2JZH9RkDz5UVInsa9
134;Madonna;Like A Virgin;6;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
135;Mary J. Blige;Family Affair;6;https://open.spotify.com/track/3aw9iWUQ3VrPQltgwvN9Xu
136;Nelly Furtado Featuring Timbaland;Promiscuous;6;https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
137;OMI;Cheerleader;6;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
138;Paul McCartney And Michael Jackson;Say Say Say;6;https://open.spotify.com/track/1db0gbTSKdRQum8VlbNkiO
139;Post Malone Featuring Morgan Wallen;I Had Some Help;6;https://open.spotify.com/track/5IZXB5IKAD2qlvTPJYDCFB
140;Puff Daddy (Featuring Mase);Can't Nobody Hold Me Down;6;https://open.spotify.com/track/1EM23A621Z0QyTlWKu7T1l
141;R. Kelly & Celine Dion;I'm Your Angel;6;https://open.spotify.com/track/1rPfJUj2s8lcSXW5iSV5VV
142;Roberta Flack;The First Time Ever I Saw Your Face;6;https://open.spotify.com/track/0SxFyA4FqmEQqZVuAlg8lf
143;Simon & Garfunkel;Bridge Over Troubled Water;6;https://open.spotify.com/track/6l8EbYRtQMgKOyc1gcDHF9
144;Survivor;Eye Of The Tiger;6;https://open.spotify.com/track/2HHtWyy5CgaQbC7XSoOb0e
145;T.I. Featuring Rihanna;Live Your Life;6;https://open.spotify.com/track/3jlbL2OTD5YmIunYzgQTAN
146;The 5th Dimension;Aquarius/Let The Sunshine In (The Flesh Failures);6;https://open.spotify.com/track/0HZlND4giwzgolBpaNIRGV
147;The J. Geils Band;Centerfold;6;https://open.spotify.com/track/6LfVnsBt9cgj77XhPcBaSB
148;The Knack;My Sharona;6;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
149;The Weeknd;The Hills;6;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
150;Three Dog Night;Joy To The World;6;https://open.spotify.com/track/0q4DbCRYxEAZQXXyCFhNe3
151;Tommy Edwards;It's All In The Game;6;https://open.spotify.com/track/17Xxp5dtS4GmdGjNZNb5Gk
152;Usher;U Got It Bad;6;https://open.spotify.com/track/7wBThXx7BGZHJJ3aN3OPvv
